order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,noahs-ark,Noah's Ark,"Guamán Poma, Nueva corónica y buen gobierno",,,
