step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,guaman-poma-nueva,0.525982972329904,0.6312218949225614,1.8160228898426325,,What is this?,"This is a depiction of Noah's Ark where he floats on the water with cattle (sheep, chicken, horses, etc.). Noah is bringing these animals to a place that they originally were not from.",,,,,,,,
2,guaman-poma-nueva,0.5078892983919558,0.3089972177527032,1.8160228898426325,,What are these things up here?,"This is Khipu, an ancient recording device made of colored, knotted strings. The Inca Empire and other Andean cultures used this to store and communicate numerical and important information.",,,,,,,,
3,guaman-poma-nueva,0.5212133904103823,0.5834232677532716,1.728,,How is this related to the Inka Empire?,"Noah's Ark can be mirrored to how the presence of cows, bulls, and horses offer one of the first evidence of the changes that European occupation provoked in indigenous landscapes.",,,,,,,,
4,guaman-poma-nueva,0.5642787585995621,0.5998961086194669,1.8160228898426325,,Why Noah?,Guamán Poma pictures Noah as he emulates that the Andeans are descendants of those on Noah's Ark.,,,,,,,,
